Patrick,79,3.43,23
Dirk,6,6.0,1
p,27,3.38,8
q,24,2.67,9
tymur,29168,3.51,8301
goo goo bee,27,3.38,8
goblin,4,4.0,1
baguette,8,4.0,2
BEE,85,3.4,25
uuuuu,98,3.92,25
h,136,3.32,41
Polish Tank,1034,3.46,299
1,34,3.78,9
goo goobie,237,3.43,69
raid shadow legends,360,3.6,100
reeeeee,17,3.4,5
Tymur,66,3.14,21
Khorne,310,3.52,88
Nurgle,261,3.39,77
Tzeentch,331,3.34,99
Slaanesh,250,3.79,66
you mean to tell me a shrimp fried this rice?,33,3.67,9
"k,k",21,2.62,8
",",1,1.0,1
i,162,3.24,50
gamer,260,3.25,80
TYMUR,4,4.0,1
n,582,3.59,162
N,13,4.33,3
nn,5,5.0,1
